"As:1,As:2,As:3,As:4,As:5,As:6,Qz:1,Qz:2,Qz:3,Qz:4,Qz:5,Qz:6,Qz:7,Qz:8,S-I:1,S-I,S-II:1,S-II,Final:1,Final,sheet,Proj:1,Proj,S-I:2,S-I:3,S-II:2,S-II:3,Final:2,Final:3,Final:4,Final:5,assign_sum,quiz_sum"
"3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,15.0,15.0,15.0,15.0,45.0,45.0,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,18.0,16.0"
"130.0,70.0,90.0,50.0,120.0,90.0,5.0,15.0,10.0,10.0,10.0,5.0,12.0,2.0,40.0,6.9103076923076925,40.0,6.097392996108949,100.0,19.87473076923077,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,550.0,69.0"
"57.40562015503876,60.609266409266404,70.01046511627908,41.48149606299212,64.50335570469798,64.2542372881356,4.039692307692308,4.082,4.669808429118774,4.219453124999999,4.071854838709677,4.303037974683544,5.983970588235294,2.0,16.178571428571427,6.9103076923076925,14.184886363636366,6.097392996108949,36.43714285714285,19.87473076923077,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,0.0,0.0"
"80.5,60.5,73.5,40.5,59.0,70.5,3.5,5.0,2.0,8.0,4.071854838709677,2.5,9.0,2.0,17.5,6.56,6.25,2.34,35.75,16.08,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,384.5,32.0"
"72.5,68.0,39.0,35.0,80.5,71.0,2.5,7.0,0.0,10.0,7.0,5.0,10.0,2.0,12.5,4.68,11.0,4.12,53.5,24.07,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,366.0,43.5"
"113.0,62.0,0.0,47.0,80.0,80.0,3.5,2.5,1.0,1.0,2.0,1.0,12.0,2.0,9.5,3.56,6.5,2.43,32.5,14.62,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,382.0,25.0"
"61.0,43.5,0.0,22.0,64.50335570469798,50.0,1.5,5.0,0.5,0.0,0.0,1.0,3.0,2.0,18.5,6.93,9.0,3.37,28.0,12.6,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,176.5,11.0"
"104.0,67.0,72.5,45.0,120.0,90.0,5.0,10.5,10.0,10.0,6.5,5.0,9.0,2.0,28.5,10.68,17.5,6.56,74.75,33.63,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,498.5,58.0"
"0.0,52.0,61.0,20.5,55.0,58.0,4.5,5.5,1.5,0.0,8.0,4.0,3.0,2.0,10.5,3.93,4.0,1.5,39.5,17.77,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,246.5,28.5"
"118.0,62.0,85.5,39.5,109.0,90.0,5.0,8.5,9.5,10.0,7.0,4.5,10.0,2.0,22.75,8.53,13.75,5.15,70.5,31.72,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,504.0,56.5"
"0.0,47.0,44.0,23.0,51.0,64.2542372881356,2.0,6.0,0.5,0.0,1.0,4.303037974683544,3.0,2.0,6.5,2.43,5.0,1.87,13.25,5.96,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,165.0,12.5"
"105.0,65.0,67.5,47.0,93.0,87.0,3.5,8.5,0.0,1.0,1.0,2.0,9.0,2.0,14.0,5.25,24.26,9.09,58.25,26.21,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,464.5,27.0"
"113.0,59.0,51.5,33.0,66.0,49.0,4.5,2.0,0.5,0.0,0.0,1.5,2.0,2.0,9.0,3.37,4.75,1.78,27.75,12.48,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,371.5,12.5"
"0.0,65.5,60.5,28.0,62.0,73.0,2.5,6.5,9.0,10.0,10.0,3.5,8.0,2.0,14.75,5.53,17.5,6.56,60.5,27.22,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,289.0,51.5"
"105.0,60.0,39.5,50.0,80.0,89.0,0.0,2.0,5.5,1.0,1.0,1.5,7.0,2.0,15.5,5.81,6.25,2.34,40.0,18.0,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,423.5,20.0"
